"mcchange","dist_threshold","seat_threshold","totaldeltaprof","totaldeltacs","totaldeltawelfare"
0.01,550,20,307907.618108818,89747.4163066693,397655.034415487
0.02,550,20,377797.081463867,187356.520269917,565153.601733784
0.03,550,20,449649.674185104,286973.848632351,736623.522817455
0.04,550,20,523534.437824917,388704.892893316,912239.330718232
0.05,550,20,599522.958195739,492660.648227503,1092183.60642324
0.06,550,20,677689.616329991,598957.925251775,1276647.54158177
0.07,550,20,758112.04043904,707719.640817733,1465831.68125677
0.08,550,20,840870.463630506,819075.090722467,1659945.55435297
0.09,550,20,926048.484999117,933160.290429761,1859208.77542888
0.1,550,20,1013733.15482856,1050118.32857621,2063851.48340477
-0.1,560,20,-348590.333686771,-876794.485617863,-1225384.81930463
-0.09,560,20,-296426.992184698,-795648.864065315,-1092075.85625001
-0.08,560,20,-242906.632902237,-713359.197222351,-956265.830124588
-0.07,560,20,-187984.240529916,-629865.541554639,-817849.782084554
-0.06,560,20,-131622.833145587,-545102.559143719,-676725.392289306
-0.05,560,20,-73749.3278683221,-459009.273720232,-532758.601588554
-0.04,560,20,-14327.5942526496,-371512.326035362,-385839.920288012
-0.03,560,20,46695.2587329065,-282538.06186939,-235842.803136483
-0.02,560,20,109375.692280741,-192009.307311323,-82633.6150305821
-0.01,560,20,173755.938768788,-99842.0285123049,73913.9102564831
0.01,560,20,307907.618108818,89747.4163066693,397655.034415487
0.02,560,20,377797.081463867,187356.520269917,565153.601733784
0.03,560,20,449649.674185104,286973.848632351,736623.522817455
0.04,560,20,523534.437824917,388704.892893316,912239.330718232
0.05,560,20,599522.958195739,492660.648227503,1092183.60642324
0.06,560,20,677689.616329991,598957.925251775,1276647.54158177
0.07,560,20,758112.04043904,707719.640817733,1465831.68125677
0.08,560,20,840870.463630506,819075.090722467,1659945.55435297
0.09,560,20,926048.484999117,933160.290429761,1859208.77542888
0.1,560,20,1013733.15482856,1050118.32857621,2063851.48340477
-0.1,570,20,-348590.333686771,-876794.485617863,-1225384.81930463
-0.09,570,20,-296426.992184698,-795648.864065315,-1092075.85625001
-0.08,570,20,-242906.632902237,-713359.197222351,-956265.830124588
-0.07,570,20,-187984.240529916,-629865.541554639,-817849.782084554
-0.06,570,20,-131622.833145587,-545102.559143719,-676725.392289306
-0.05,570,20,-73749.3278683221,-459009.273720232,-532758.601588554
-0.04,570,20,-14327.5942526496,-371512.326035362,-385839.920288012
-0.03,570,20,46695.2587329065,-282538.06186939,-235842.803136483
-0.02,570,20,109375.692280741,-192009.307311323,-82633.6150305821
-0.01,570,20,173755.938768788,-99842.0285123049,73913.9102564831
0.01,570,20,307907.618108818,89747.4163066693,397655.034415487
0.02,570,20,377797.081463867,187356.520269917,565153.601733784
0.03,570,20,449649.674185104,286973.848632351,736623.522817455
0.04,570,20,523534.437824917,388704.892893316,912239.330718232
0.05,570,20,599522.958195739,492660.648227503,1092183.60642324
0.06,570,20,677689.616329991,598957.925251775,1276647.54158177
0.07,570,20,758112.04043904,707719.640817733,1465831.68125677
0.08,570,20,840870.463630506,819075.090722467,1659945.55435297
0.09,570,20,926048.484999117,933160.290429761,1859208.77542888
0.1,570,20,1013733.15482856,1050118.32857621,2063851.48340477
-0.1,580,20,-348590.333686771,-876794.485617863,-1225384.81930463
-0.09,580,20,-296426.992184698,-795648.864065315,-1092075.85625001
-0.08,580,20,-242906.632902237,-713359.197222351,-956265.830124588
-0.07,580,20,-187984.240529916,-629865.541554639,-817849.782084554
-0.06,580,20,-131622.833145587,-545102.559143719,-676725.392289306
-0.05,580,20,-73749.3278683221,-459009.273720232,-532758.601588554
-0.04,580,20,-14327.5942526496,-371512.326035362,-385839.920288012
-0.03,580,20,46695.2587329065,-282538.06186939,-235842.803136483
-0.02,580,20,109375.692280741,-192009.307311323,-82633.6150305821
-0.01,580,20,173755.938768788,-99842.0285123049,73913.9102564831
0.01,580,20,307907.618108818,89747.4163066693,397655.034415487
0.02,580,20,377797.081463867,187356.520269917,565153.601733784
0.03,580,20,449649.674185104,286973.848632351,736623.522817455
0.04,580,20,523534.437824917,388704.892893316,912239.330718232
0.05,580,20,599522.958195739,492660.648227503,1092183.60642324
0.06,580,20,677689.616329991,598957.925251775,1276647.54158177
0.07,580,20,758112.04043904,707719.640817733,1465831.68125677
0.08,580,20,840870.463630506,819075.090722467,1659945.55435297
0.09,580,20,926048.484999117,933160.290429761,1859208.77542888
0.1,580,20,1013733.15482856,1050118.32857621,2063851.48340477
-0.1,590,20,-348590.333686771,-876794.485617863,-1225384.81930463
-0.09,590,20,-296426.992184698,-795648.864065315,-1092075.85625001
-0.08,590,20,-242906.632902237,-713359.197222351,-956265.830124588
-0.07,590,20,-187984.240529916,-629865.541554639,-817849.782084554
-0.06,590,20,-131622.833145587,-545102.559143719,-676725.392289306
-0.05,590,20,-73749.3278683221,-459009.273720232,-532758.601588554
-0.04,590,20,-14327.5942526496,-371512.326035362,-385839.920288012
-0.03,590,20,46695.2587329065,-282538.06186939,-235842.803136483
-0.02,590,20,109375.692280741,-192009.307311323,-82633.6150305821
-0.01,590,20,173755.938768788,-99842.0285123049,73913.9102564831
0.01,590,20,307907.618108818,89747.4163066693,397655.034415487
0.02,590,20,377797.081463867,187356.520269917,565153.601733784
0.03,590,20,449649.674185104,286973.848632351,736623.522817455
0.04,590,20,523534.437824917,388704.892893316,912239.330718232
0.05,590,20,599522.958195739,492660.648227503,1092183.60642324
0.06,590,20,677689.616329991,598957.925251775,1276647.54158177
0.07,590,20,758112.04043904,707719.640817733,1465831.68125677
0.08,590,20,840870.463630506,819075.090722467,1659945.55435297
0.09,590,20,926048.484999117,933160.290429761,1859208.77542888
0.1,590,20,1013733.15482856,1050118.32857621,2063851.48340477
-0.1,600,20,-348590.333686771,-876794.485617863,-1225384.81930463
-0.09,600,20,-296426.992184698,-795648.864065315,-1092075.85625001
-0.08,600,20,-242906.632902237,-713359.197222351,-956265.830124588
-0.07,600,20,-187984.240529916,-629865.541554639,-817849.782084554
-0.06,600,20,-131622.833145587,-545102.559143719,-676725.392289306
-0.05,600,20,-73749.3278683221,-459009.273720232,-532758.601588554
-0.04,600,20,-14327.5942526496,-371512.326035362,-385839.920288012
-0.03,600,20,46695.2587329065,-282538.06186939,-235842.803136483
-0.02,600,20,109375.692280741,-192009.307311323,-82633.6150305821
-0.01,600,20,173755.938768788,-99842.0285123049,73913.9102564831
0.01,600,20,307907.618108818,89747.4163066693,397655.034415487
0.02,600,20,377797.081463867,187356.520269917,565153.601733784
0.03,600,20,449649.674185104,286973.848632351,736623.522817455
0.04,600,20,523534.437824917,388704.892893316,912239.330718232
0.05,600,20,599522.958195739,492660.648227503,1092183.60642324
0.06,600,20,677689.616329991,598957.925251775,1276647.54158177
0.07,600,20,758112.04043904,707719.640817733,1465831.68125677
0.08,600,20,840870.463630506,819075.090722467,1659945.55435297
0.09,600,20,926048.484999117,933160.290429761,1859208.77542888
0.1,600,20,1013733.15482856,1050118.32857621,2063851.48340477
-0.1,610,20,-348590.333686771,-876794.485617863,-1225384.81930463
-0.09,610,20,-296426.992184698,-795648.864065315,-1092075.85625001
-0.08,610,20,-242906.632902237,-713359.197222351,-956265.830124588
-0.07,610,20,-187984.240529916,-629865.541554639,-817849.782084554
-0.06,610,20,-131622.833145587,-545102.559143719,-676725.392289306
-0.05,610,20,-73749.3278683221,-459009.273720232,-532758.601588554
-0.04,610,20,-14327.5942526496,-371512.326035362,-385839.920288012
-0.03,610,20,46695.2587329065,-282538.06186939,-235842.803136483
-0.02,610,20,109375.692280741,-192009.307311323,-82633.6150305821
-0.01,610,20,173755.938768788,-99842.0285123049,73913.9102564831
0.01,610,20,307907.618108818,89747.4163066693,397655.034415487
0.02,610,20,377797.081463867,187356.520269917,565153.601733784
0.03,610,20,449649.674185104,286973.848632351,736623.522817455
0.04,610,20,523534.437824917,388704.892893316,912239.330718232
0.05,610,20,599522.958195739,492660.648227503,1092183.60642324
0.06,610,20,677689.616329991,598957.925251775,1276647.54158177
